merchant_name,category,random_products,merchant_description
"369 Shanghai, Jemursari",Chinese,"['Bestdeal Noodle', 'Bestdeal Sup', 'Bestdeal rice', 'Siomay Ayam Rebus / Goreng', 'Siomay Babi Rebus/ Goreng', 'Xiao Long Bao Pork', 'Guo Tie Pork', 'Sandwich Tiongkok', 'Sup Shanghai', 'Tim Obat Ayam Hitam']","369 Shanghai di Jemursari menawarkan berbagai pilihan kuliner khas China yang memikat selera. Dengan fokus pada makanan siap saji dan bahan masakan berkualitas, kami menyediakan produk-produk seperti Home Pack Tim Obat Ayam Hitam dan Bihun Gr 369 Pork, cocok untuk memperkaya pengalaman memasak di rumah. Temukan kelezatan dalam setiap hidangan yang kami tawarkan, dari sup hingga mie, untuk memanjakan lidah Anda."
AHA by Kudos,Minuman/Kopi/Pizza & pasta,"['Beef And Mushroom', 'Shirataki Spicy Abon Cakalang', 'Americano', 'Coffee Latte', 'Creme Brulee', 'Capuccino', 'Flavored Latte', 'Black Jasmine', 'Ultra Violet', 'Stargazing']","AHA by Kudos adalah tempat yang sempurna untuk menikmati perpaduan cita rasa dalam kategori Minuman, Kopi, serta Pizza & Pasta. Di sini, Anda dapat memanjakan lidah dengan berbagai pilihan menarik seperti Salmon Pesto yang menggugah selera, atau menyantap pasta unik seperti Tom Yum Pasta. Dengan suasana yang nyaman dan ramah, AHA by Kudos siap menjadikan pengalaman kuliner Anda tak terlupakan."
"Aiciro, BG Junction",Jajanan/Ayam & bebek/Minuman,"['Chicken Fillet', 'Kentang', 'Siomay', 'Nugget', 'Chicken Skin', 'Fish Skin', 'Bakso', 'Sosis Ayam', 'Ayam Pop', 'Tahu walik']","Aiciro di BG Junction adalah tempat yang tepat untuk menikmati berbagai jajanan lezat, khususnya ayam dan bebek, serta pilihan minuman yang menyegarkan. Nikmati beragam cita rasa dari snack seperti Tahu Crispy, sambil memanjakan lidah Anda dengan segelas Coffe Latte atau Strawberry Milkshake yang menyegarkan. Aiciro menawarkan pengalaman kuliner yang variatif dan memuaskan bagi semua pengunjung."
Order Sekaligus - Aiola Canteen Merr,Aneka nasi/Sate,"['Original Pancake/Waffle', 'Strawberry Cheese Pancake/Waffle', 'Bluberry Cheese Pancake/Waffle', 'Strawberry Pancake/Waffle', 'Oreo Cream Pancake/Waffle', 'Chocomaltine Pancake/Waffle', 'Banana Nutella Pancake/Waffle', 'Caramel Banana Raisin Pancake/Waffle', 'Mango Peach Pancake/Waffle', 'Superchoco Pancake/Waffle']","Order Sekaligus - Aiola Canteen Merr menawarkan aneka sajian lezat yang terdiri dari nasi dan sate, memberikan pengalaman kuliner yang memuaskan. Di sini, Anda dapat menikmati berbagai hidangan, seperti Fried Chicken Wings yang renyah dan Nasi Tongkol yang nikmat, serta pilihan minuman menyegarkan seperti Cold Brew. Setiap porsi diracik dengan bahan berkualitas, siap memanjakan selera Anda."
"Amalia Cake, Wringinanom",Jajanan/Roti/Sweets,"['Original Brownies Box', 'Stroberi Brownies Box', 'Tiramisu Brownies Box', 'Cheese Brownies Box', 'Oreo Brownies Box', 'Vanilla Brownies Box', 'Banana Brownies Box', 'Medium Ori (18x18)', 'Grape Cake', 'Taro Cake']","Amalia Cake di Wringinanom adalah tempat yang tepat bagi pecinta jajanan manis dan roti yang berkualitas. Menawarkan berbagai pilihan kue dan snack, toko ini menyediakan berbagai varian rasa yang menggugah selera, mulai dari Oreo yang krispi hingga kelezatan Taro dan Blueberry. Dengan produk unggulan seperti Medium Ori (18x18) dan aneka rasa buah seperti Grape, setiap kunjungan pasti akan memuaskan hasrat manis Anda."
"Amanda Brownies, Tegalsari",Roti/Jajanan,"['Brownies Kering', 'Nastar Greentea', 'Bolu Pandan', 'Brownies Original', 'Brownies Tiramisu', 'Brownies Coklat', 'Brownies Keju', 'Bolu Gulung Pandan', 'Brownies Cappucino', 'Brownies Blackforest']","Amanda Brownies, Tegalsari, adalah toko yang menyediakan berbagai jajanan manis berkualitas khususnya dalam kategori roti dan kue. Dengan berbagai pilihan seperti Brownies Kering, Bolu Pandan, dan Nastar Greentea, setiap produk kami diracik dengan bahan terbaik untuk memberikan cita rasa yang memuaskan. Temukan kelezatan Brownies Original dan Brownies Tiramisu untuk mempermanis momen spesial Anda."
"AMPM SDA, Buduran",Minuman/Cepat saji/Kopi,"['Sunset Violet Coffee', 'Waffle Matcha', 'Sampler Taman', 'Iced Americano', 'Velvetful Peanut Frappio', 'Sandwich AMPM', 'Croissant Butter', 'Cheese Cake', 'Cappucino', 'Pancake Matcha']","AMPM SDA di Buduran adalah tempat yang sempurna untuk pencinta kopi dan penggemar makanan cepat saji. Dengan berbagai pilihan minuman segar dan camilan lezat, Anda dapat menikmati waktu santai sambil mencicipi produk unik seperti Sunset Violet Coffee, Waffle Matcha, dan Iced Americano. Temukan kombinasi sempurna antara rasa dan suasana yang nyaman di sini."
"Aneka Bothok, Sukolilo",Aneka nasi,"['Nasi Sayur Asem + Bothok Patin', 'Tongkol Sarden', 'Nasi Campur Telur', 'Bothok Ayam', 'Bothok Ikan', 'Nasi Uduk', 'Pecel Bothok', 'Nasi Goreng Patin', 'Krupuk Udang', 'Bayam Goreng']","Aneka Bothok di Sukolilo adalah tempat yang sempurna bagi pecinta nasi dengan berbagai pilihan menu yang menggugah selera. Tersedia hidangan seperti Nasi Sayur Asem yang disajikan dengan Bothok Patin, serta pilihan lainnya seperti Tongkol Sarden dan Nasi Campur Telur. Dengan kombinasi rasa yang autentik dan bahan berkualitas, setiap sajian di sini menghadirkan pengalaman kuliner yang memuaskan."
Aneka Seblak Endull,Cepat saji/Jajanan,"['Seblak Telur Puyuh', 'Seblak Bakso Sosis', 'Seblak Unyu', 'Seblak Sayur', 'Seblak Ceker', 'Seblak Mie', 'Es Coklat Endull', 'Es Teh Manis', 'Seblak Super Pedas', 'Seblak Kerupuk']","Aneka Seblak Endull adalah tujuan tepat untuk penggemar cepat saji dan jajanan khas Indonesia. Menawarkan berbagai pilihan seblak yang menggugah selera, seperti Seblak Telur Puyuh dan Seblak Bakso Sosis, serta minuman menyegarkan seperti Green Tea Tanpa Susu dan Es Coklat Endull. Temukan kelezatan dalam setiap gigitan dan kepuasan dalam setiap tegukan untuk pengalaman kuliner yang tak terlupakan."
Angkringan Abas Krian,Jajanan/Sate/Aneka nasi,"['Es Susu Coklat', 'Es Teh Tarik', 'Balungan Ayam Rica Bakar', 'Ceker Ayam', 'Nasi Bakar Ayam Suwir', 'Sate Usus', 'Sate Jeroan', 'Tahu Bacem', 'Nasi Kucing', 'Wedang Jahe']","Angkringan Abas Krian adalah tempat yang tepat untuk menikmati berbagai jajanan khas Indonesia, termasuk sate dan aneka nasi yang menggugah selera. Nikmati kelezatan hidangan seperti Balungan Ayam Rica Bakar dan Nasi Bakar Ayam Suwir, serta segarkan hari Anda dengan minuman khas seperti Es Susu Coklat dan Es Teh Tarik. Temukan cita rasa otentik yang pasti membuat Anda kembali lagi."
